label,loop_state,loss_reason,locked,phase_locked,frequency_locked,phase_error,freq_error,freq_error_usable,state_measurement_valid,good_count,bad_count,hybrid_fll,hybrid_pll_i,hybrid_pll_p,hybrid_kf,hybrid_ki,hybrid_kp,fll_term,i_term,p_term,freq_state,freq_correction,correction_valid
t0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t100us,3,0,0,0,0,-118968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t200us,3,0,0,1,0,-96255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t500us,3,0,0,0,0,-128893,-9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1ms,3,0,0,0,0,67580,-12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2ms,4,3,0,0,0,-59948,-10068,0,0,0,6,1,0,0,8000000,0,0,-1229004,0,0,-128060486,-128060486,0
t3ms,4,3,0,0,0,105500,-6342,0,0,0,18,1,0,0,8000000,0,0,-774170,0,0,-348518828,-348518828,0
t4ms,4,3,0,0,0,14822,-5139,0,0,0,30,1,0,0,8000000,0,0,-627320,0,0,-507092030,-507092030,0
t5ms,4,3,0,0,0,-50724,-4319,0,0,0,42,1,0,0,8000000,0,0,-527222,0,0,-637996554,-637996554,0
t6ms,4,3,0,0,0,-111906,-3087,0,0,0,55,1,0,0,8000000,0,0,-376832,0,0,-745009942,-745009942,0
t7ms,4,3,0,0,0,112909,-3160,0,0,0,67,1,0,0,8000000,0,0,-385743,0,0,-834181073,-834181073,0
t8ms,4,3,0,0,1,87857,-1831,0,0,4,0,1,0,0,8000000,0,0,-223511,0,0,-886030750,-886030750,0
t9ms,4,3,0,0,0,56917,-2535,0,0,0,11,1,0,0,8000000,0,0,-309449,0,0,-945326393,-945326393,0
t10ms,4,3,0,0,1,46370,-1181,0,0,10,0,1,0,0,8000000,0,0,-144166,0,0,-984274496,-984274496,0
t11ms,5,0,0,0,1,39964,-1018,0,0,0,0,1,1,1,1500000,351600,6000000,-23301,53601,58541015,-992448214,-933907199,0
t12ms,5,0,0,0,1,8459,-1680,0,0,0,0,1,1,1,1500000,351600,6000000,-38453,11491,12550781,-994561913,-982011132,0
t13ms,5,0,0,0,1,-12258,-1270,0,0,0,0,1,1,1,1500000,351600,6000000,-29068,-16336,-17840333,-1003050522,-1020890855,0
t14ms,5,0,0,0,1,-24379,-675,0,0,0,0,1,1,1,1500000,351600,6000000,-15450,-32699,-35711426,-1012196542,-1047907968,0
t15ms,5,0,0,0,1,-39964,-532,0,0,0,0,1,1,1,1500000,351600,6000000,-12177,-53602,-58541016,-1021341161,-1079882177,0
t16ms,5,0,0,0,1,-25572,-454,0,0,0,0,1,1,1,1500000,351600,6000000,-10392,-34299,-37458985,-1031508322,-1068967307,0
t17ms,5,0,0,0,1,-46370,-128,0,0,0,0,1,1,1,1500000,351600,6000000,-2930,-62194,-67924805,-1044145465,-1112070270,0
t18ms,5,0,0,0,1,-46370,-45,0,0,0,0,1,1,1,1500000,351600,6000000,-1030,-62194,-67924805,-1056667121,-1124591926,0
t19ms,5,0,0,0,1,-46370,51,0,0,0,0,1,1,1,1500000,351600,6000000,1167,-62194,-67924805,-1068770687,-1136695492,0
t20ms,5,0,0,0,1,-46370,153,0,0,0,0,1,1,1,1500000,351600,6000000,3501,-62194,-67924805,-1080534151,-1148458956,0
t21ms,5,0,0,0,1,-25572,181,0,0,0,0,1,1,1,1500000,351600,6000000,4142,-34299,-37458985,-1090990068,-1128449053,0
t22ms,5,0,0,0,1,-25572,84,0,0,0,0,1,1,1,1500000,351600,6000000,1922,-34299,-37458985,-1097383259,-1134842244,0
t23ms,5,0,0,0,1,-25572,65,0,0,0,0,1,1,1,1500000,351600,6000000,1487,-34299,-37458985,-1103795087,-1141254072,0
t24ms,5,0,0,0,1,-39964,102,0,0,0,0,1,1,1,1500000,351600,6000000,2334,-53602,-58541016,-1110505633,-1169046649,0
t25ms,5,0,0,0,1,-19166,352,0,0,0,0,1,1,1,1500000,351600,6000000,8056,-25707,-28075196,-1118558144,-1146633340,0
t26ms,5,0,0,0,1,-19166,175,0,0,0,0,1,1,1,1500000,351600,6000000,4005,-25707,-28075196,-1122744474,-1150819670,0
t27ms,5,0,0,0,1,-24379,360,0,0,0,0,1,1,1,1500000,351600,6000000,8239,-32699,-35711426,-1128128254,-1163839680,0
t28ms,5,0,0,0,1,-19583,323,0,0,0,0,1,1,1,1500000,351600,6000000,7392,-26290,-28712403,-1132470718,-1161183121,0
t29ms,5,0,0,0,1,-15654,343,0,0,0,0,1,1,1,1500000,351600,6000000,7850,-21023,-22959961,-1135655112,-1158615073,0
t30ms,5,0,0,0,1,-11628,342,0,0,0,0,1,1,1,1500000,351600,6000000,7827,-15625,-17063965,-1137777641,-1154841606,0
