label,loop_state,loss_reason,locked,phase_locked,frequency_locked,phase_error,freq_error,freq_error_usable,state_measurement_valid,good_count,bad_count,hybrid_fll,hybrid_pll_i,hybrid_pll_p,hybrid_kf,hybrid_ki,hybrid_kp,fll_term,i_term,p_term,freq_state,freq_correction,correction_valid
t0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t100us,3,0,0,0,0,-118968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t200us,3,0,0,1,0,-96255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t500us,3,0,0,0,0,-128893,-9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1ms,3,0,0,0,0,67580,-12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2ms,4,3,0,0,0,-59948,-10068,0,0,0,6,1,0,0,8000000,0,0,-1229004,0,0,-128060486,-128060486,0
t3ms,4,3,0,0,0,105500,-6342,0,0,0,18,1,0,0,8000000,0,0,-774170,0,0,-348518828,-348518828,0
t4ms,4,3,0,0,0,14822,-5139,0,0,0,30,1,0,0,8000000,0,0,-627320,0,0,-507092030,-507092030,0
t5ms,4,3,0,0,0,-50724,-4319,0,0,0,42,1,0,0,8000000,0,0,-527222,0,0,-637996554,-637996554,0
t6ms,4,3,0,0,0,-111906,-3087,0,0,0,55,1,0,0,8000000,0,0,-376832,0,0,-745009942,-745009942,0
t7ms,4,3,0,0,0,112909,-3160,0,0,0,67,1,0,0,8000000,0,0,-385743,0,0,-834181073,-834181073,0
t8ms,4,3,0,0,1,87857,-1831,0,0,4,0,1,0,0,8000000,0,0,-223511,0,0,-886030750,-886030750,0
t9ms,4,3,0,0,0,56917,-2535,0,0,0,11,1,0,0,8000000,0,0,-309449,0,0,-945326393,-945326393,0
t10ms,4,3,0,0,1,46370,-1181,0,0,10,0,1,0,0,8000000,0,0,-144166,0,0,-984274496,-984274496,0
t11ms,5,0,0,0,1,39964,-1017,0,0,0,0,1,1,1,1500000,234400,6000000,-23278,35734,58541015,-993545434,-935004419,0
t12ms,5,0,0,0,1,8680,-1647,0,0,0,0,1,1,1,1500000,234400,6000000,-37697,7857,12873046,-997124504,-984251458,0
t13ms,5,0,0,0,1,-11802,-1276,0,0,0,0,1,1,1,1500000,234400,6000000,-29206,-10482,-17170899,-1005207624,-1022378523,0
t14ms,5,0,0,0,1,-21772,-680,0,0,0,0,1,1,1,1500000,234400,6000000,-15564,-19468,-31892579,-1012638254,-1044530833,0
t15ms,5,0,0,0,1,-39964,-543,0,0,0,0,1,1,1,1500000,234400,6000000,-12429,-35735,-58541016,-1019480421,-1078021437,0
t16ms,5,0,0,0,1,-25572,-469,0,0,0,0,1,1,1,1500000,234400,6000000,-10735,-22866,-37458985,-1027083008,-1064541993,0
t17ms,5,0,0,0,1,-46370,-183,0,0,0,0,1,1,1,1500000,234400,6000000,-4189,-41463,-67924805,-1036068310,-1103993115,0
t18ms,5,0,0,0,1,-46370,-258,0,0,0,0,1,1,1,1500000,234400,6000000,-5906,-41463,-67924805,-1043852578,-1111777383,0
t19ms,5,0,0,0,1,-43764,-168,0,0,0,0,1,1,1,1500000,234400,6000000,-3846,-39133,-64107422,-1052235034,-1116342456,0
t20ms,5,0,0,0,1,-43713,-6,0,0,0,0,1,1,1,1500000,234400,6000000,-138,-39084,-64026856,-1060206891,-1124233747,0
t21ms,5,0,0,0,1,-43672,4,0,0,0,0,1,1,1,1500000,234400,6000000,91,-39055,-63979981,-1067856343,-1131836324,0
t22ms,5,0,0,0,1,-42921,87,0,0,0,0,1,1,1,1500000,234400,6000000,1991,-38383,-62879883,-1075147355,-1138027238,0
t23ms,5,0,0,0,1,-46370,161,0,0,0,0,1,1,1,1500000,234400,6000000,3684,-41463,-67924805,-1082392133,-1150316938,0
t24ms,5,0,0,0,1,-35948,100,0,0,0,0,1,1,1,1500000,234400,6000000,2288,-32144,-52658204,-1088311225,-1140969429,0
t25ms,5,0,0,0,1,-46370,283,0,0,0,0,1,1,1,1500000,234400,6000000,6477,-41463,-67924805,-1095084096,-1163008901,0
t26ms,5,0,0,0,1,-25572,60,0,0,0,0,1,1,1,1500000,234400,6000000,1373,-22866,-37458985,-1100326045,-1137785030,0
t27ms,5,0,0,0,1,-25572,116,0,0,0,0,1,1,1,1500000,234400,6000000,2655,-22866,-37458985,-1104378594,-1141837579,0
t28ms,5,0,0,0,1,-39964,185,0,0,0,0,1,1,1,1500000,234400,6000000,4234,-35735,-58541016,-1109119275,-1167660291,0
t29ms,5,0,0,0,1,-19166,235,0,0,0,0,1,1,1,1500000,234400,6000000,5378,-17138,-28075196,-1113601268,-1141676464,0
t30ms,5,0,0,0,1,-19166,132,0,0,0,0,1,1,1,1500000,234400,6000000,3021,-17138,-28075196,-1116369063,-1144444259,0
